start_time,end_time
6.263, 133.422
133.729,138.265
138.545,234.896
235.21,295.09
295.355,297.873
298.527,304.338
304.603,428.506
428.784,447.254
447.532,511.015
511.299,603.871
604.152,732.575
733.071,846.553
846.832,855.976
856.236,888.902
889.189,893.521
893.796,918.167
918.447,954.622
954.946,981.869
982.126,1049.051
1049.401,1171.501
1171.946,1373.302
1373.577,1379.489
1379.842,1464.55
1464.85,1467.832
1468.145,1480.113
1480.441,1497.443
1497.912,1649.048
1649.34,1650.693
1651.055,1651.055
